"s__acnes" "s__aeria" "s__agalactiae" "s__alactolyticus" "s__aminovorans" "s__amylovorum" "s__anaerobius" "s__anginosus" "s__aquatilis" "s__aureus" "s__aurimucosum" "s__biforme" "s__boronitolerans" "s__bromii" "s__caccae" "s__callidus" "s__cecorum" "s__cinerea" "s__copri" "s__coprophilus" "s__delbrueckii" "s__dentocariosa" "s__depolymerans" "s__diminuta" "s__diospyrosa" "s__dispar" "s__distasonis" "s__dolichum" "s__durum" "s__eggerthii" "s__endodontalis" "s__epidermidis" "s__equi" "s__faecis" "s__farmeri" "s__fascians" "s__fragilis" "s__gallinarum" "s__garvieae" "s__genomosp." "s__globerulus" "s__gnavus" "s__granulosum" "s__haemolyticus" "s__helveticus" "s__iners" "s__infantis" "s__influenzae" "s__intermedia" "s__johnsonii" "s__komagatae" "s__kroppenstedtii" "s__kuhniae" "s__lividum" "s__longum" "s__luteciae" "s__luteus" "s__marcescens" "s__melaninogenica" "s__minor" "s__mirabilis" "s__moniliformis" "s__moorei" "s__mucilaginosa" "s__muciniphila" "s__multacida" "s__multivorum" "s__multocida" "s__nanceiensis" "s__nigrescens" "s__noxia" "s__ochracea" "s__ovatus" "s__pallens" "s__paradoxus" "s__parahaemolyticus" "s__parainfluenzae" "s__parvula" "s__plebeius" "s__pneumotropica" "s__prausnitzii" "s__producta" "s__pylori" "s__rhizosphaerae" "s__rimae" "s__rosea" "s__salivarius" "s__segnis" "s__sobrinus" "s__socranskii" "s__stercorea" "s__subflava" "s__tannerae" "s__uniformis" "s__venetianus" "s__viridiflava" "s__zeae"
"X700015208.V35.241719" 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.16992500144231 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.17990909001493 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 8.17492568250068 4.24792751344359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS022753.SRX022231" 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.95419631038687 0 0 1.58496250072116 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2.8073549220576 8.4594316186373 3.16992500144231 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 0
"X700015469.V35.241665" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.55266909751427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 4.39231742277876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.23840473932508 4.8073549220576 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"X700015094.V35.241773" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.5018371849023 3.16992500144231 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"X700014935.V35.241820" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.90689059560852 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4.16992500144231 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 1.58496250072116 0 2 0 0 0 0 6.32192809488736 0 0 0 1 0 0 8.19967234483636 6.49185309632967 1 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 1.58496250072116 0 0 0 0 0
"X700014809.V35.241722" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.23840473932508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"X700014534.V35.241762" 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.55458885167764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 7.96000193206808 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1.58496250072116 0 0 0 0 2.32192809488736 0 0 0 0 0 0 5.12928301694497 9.56605403817109 3.58496250072116 0 0 1 0 0 0 0 0 0 0 0 0 0 5.08746284125034 0 0 0 0 0
"X700014419.V35.241827" 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 7.92481250360578 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 8.70735913208088 0 0 0 0 0 0 0 0 0 0 7.8073549220576 0 0 0 0 7.08746284125034 0 0 0 0 0 0 0 0 0 0 0 5.04439411935845 2.32192809488736 4 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0
"X700015468.V35.241665" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.55458885167764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.4594316186373 5.35755200461808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"X700015438.V35.241712" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 4.08746284125034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
