"Hallets.Forehead" "Postscript.Forehead" "Starratt.Forehead" "Coachmen.Forehead" "Gibbon.Forehead" "Trimmer.Forehead" "Innitou.Forehead" "Tewmac.Forehead" "Cochituate.Forehead" "Mariposa.Forehead" "Wilbraview.Forehead" "Caryll.Forehead" "Westbora.Forehead" "Janis.Forehead" "Pinrock.Forehead" "Elmavenue.Forehead" "Shadyside.Forehead" "Loveland.Forehead" "Cornstalk.Forehead" "Hager.Forehead" "Nobscot.Forehead" "Lonergan.Forehead" "Lippokd.Forehead" "Malfa.Forehead" "Merchants.Forehead" "Flagstone.Forehead" "Sylvanus.Forehead" "Fermanagh.Forehead" "Winifreds.Forehead" "Woodfin.Forehead" "Reacher.Forehead" "Netta.Forehead" "Goddu.Forehead" "Azalea.Forehead" "Patmos.Forehead" "Trafford.Forehead" "Vinedale.Forehead" "Padanaram.Forehead" "Innkeeper.Forehead" "Cowan.Forehead" "Watoguadoc.Forehead" "Meadowlands.Forehead" "Pasho.Forehead"
"s__catus" 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cecorum" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"s__celatum" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0
"s__celer" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cellulosum" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__chitinolyticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__chondroitinus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cinerea" 2.32192809488736 2 2.8073549220576 0 1 1 1.58496250072116 4.64385618977472 3.8073549220576 2 1.58496250072116 1.58496250072116 3.70043971814109 0 1 1.58496250072116 1.58496250072116 2.8073549220576 1 2.32192809488736 1 3.70043971814109 2.8073549220576 2 3.4594316186373 1 1 0 1 4.52356195605701 2.32192809488736 3 2.32192809488736 1.58496250072116 1.58496250072116 5.32192809488736 1 1 4.90689059560852 4.95419631038687 6.33985000288462 1.58496250072116 3.32192809488736
"s__citronellolis" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__clausii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__coagulans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0
"s__coleohominis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__copri" 1.58496250072116 2 4.85798099512757 1.58496250072116 2.32192809488736 2.32192809488736 0 2.32192809488736 3.8073549220576 5.4262647547021 5.8073549220576 3.70043971814109 11.1465686757408 4.08746284125034 2 4.58496250072116 5.6724253419715 1.58496250072116 1 1.58496250072116 3.4594316186373 1 0 4.08746284125034 1 1.58496250072116 2.8073549220576 1 3 5.04439411935845 5.70043971814109 1 3.16992500144231 5.75488750216347 2 3 6.28540221886225 2.8073549220576 5.7279204545632 3.58496250072116 1.58496250072116 3.90689059560852 1.58496250072116
"s__cosmopolitanus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cryaerophilus" 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cryoconitis" 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 3 0 0 0 2 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1.58496250072116 0 0 1 0 0 0
"s__curvus" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__delafieldii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__delbrueckii" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"s__dentocariosa" 1.58496250072116 3 5.20945336562895 3 5.49185309632967 0 1 7.62205181945638 2 5.93073733756289 2 6.4093909361377 6.83289001416474 2.58496250072116 0 6.14974711950468 3.32192809488736 3.16992500144231 0 4.24792751344359 4 4.39231742277876 7.3037807481771 3.8073549220576 4.39231742277876 2 7.94251450533924 1.58496250072116 3 8.42206476617281 3.16992500144231 1.58496250072116 5.90689059560852 6.06608919045777 6.65821148275179 4.16992500144231 4.95419631038687 1 8.12412131182919 8.467605550083 5.90689059560852 7.02236781302845 4.85798099512757
"s__diminuta" 0 0 0 1 2.32192809488736 2.58496250072116 0 0 0 0 0 0 1 0 0 0 2.32192809488736 0 0 3 2.58496250072116 1.58496250072116 0 0 2.8073549220576 0 0 0 0 1.58496250072116 0 4.64385618977472 0 3.16992500144231 0 0 3.8073549220576 4.16992500144231 0 0 0 0 0
"s__dispar" 3.32192809488736 4.58496250072116 5.95419631038687 4.75488750216347 5.6724253419715 5.04439411935845 2 6.32192809488736 5.32192809488736 3.58496250072116 5.24792751344359 4.24792751344359 6.96578428466209 5.55458885167764 4.95419631038687 6.71424551766612 7.49185309632967 6.71424551766612 3.4594316186373 4.70043971814109 4.58496250072116 4 5.35755200461808 5.83289001416474 4.24792751344359 2.32192809488736 7.20945336562895 4.4594316186373 4.16992500144231 7.89481776330794 6.90689059560852 5.90689059560852 6.02236781302845 7.35755200461808 6.8703647195834 5.55458885167764 7.33091687811462 2.8073549220576 7.43462822763672 7.4594316186373 5.7279204545632 7.4178525148859 5.75488750216347
"s__dispersa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 1 0 0 0
"s__distasonis" 0 0 4 1 2.8073549220576 1 0 0 1 1.58496250072116 0 0 4.85798099512757 0 0 2.58496250072116 0 0 0 0 1 0 0 2.32192809488736 0 0 0 1 1 0 0 0 1 0 0 1 0 2.8073549220576 1 2.58496250072116 0 1 0
"s__doebereinerae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dolichum" 0 0 1.58496250072116 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__durum" 1 3.16992500144231 4.39231742277876 2.8073549220576 3.8073549220576 4.52356195605701 0 6.08746284125034 2.32192809488736 0 0 6.33985000288462 5.4594316186373 2.32192809488736 0 2.58496250072116 0 4.4594316186373 1.58496250072116 3.90689059560852 3.32192809488736 2.32192809488736 4.70043971814109 4.4594316186373 5.35755200461808 1 5.52356195605701 0 2.32192809488736 8.25266543245025 1 3.70043971814109 4.90689059560852 0 7.29462074889163 4.24792751344359 2.32192809488736 0 3.90689059560852 5.6724253419715 7.83920378809694 6.35755200461808 5.12928301694497
"s__echinoides" 0 0 2.58496250072116 0 0 0 0 0 0 2 0 0 0 2.58496250072116 0 0 3 0 0 3 0 0 1.58496250072116 0 0 1 0 0 0 0 2 0 0 3.32192809488736 0 0 2 0 0 0 0 0 0
"s__effusa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__eggerthii" 0 0 6.88264304936184 0 0 0 0 0 2.8073549220576 0 0 0 0 4.52356195605701 1 0 0 2.58496250072116 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 0 0 1 0 0 1 0 0 1 0
"s__eikelboomii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"s__elegans" 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__elkanii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__endodontalis" 3.32192809488736 0 2.32192809488736 0 0 0 0 0 1.58496250072116 2 0 0 3.4594316186373 0 1 0 0 0 1.58496250072116 0 1.58496250072116 1.58496250072116 2.58496250072116 0 3.4594316186373 0 3.90689059560852 0 0 3.70043971814109 1.58496250072116 0 0 0 0 0 0 0 0 3.70043971814109 0 2.32192809488736 0
"s__endophyticus" 0 0 1.58496250072116 1 0 0 0 0 0 0 0 2.32192809488736 0 0 0 1 0 0 0 1 0 0 1 3.16992500144231 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__enterica" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"s__epidermidis" 3.16992500144231 0 5.28540221886225 0 3.16992500144231 4.24792751344359 5.83289001416474 3.70043971814109 4.16992500144231 3 2.32192809488736 2.58496250072116 3.58496250072116 4.70043971814109 3.70043971814109 6.44294349584873 0 3.32192809488736 0 6 6.14974711950468 3.32192809488736 5.4262647547021 3.32192809488736 4.16992500144231 5.35755200461808 3.16992500144231 4.39231742277876 4.32192809488736 5.39231742277876 3.58496250072116 2.32192809488736 4.39231742277876 3.58496250072116 1 2.8073549220576 2.32192809488736 5.20945336562895 5.28540221886225 4.08746284125034 0 6.18982455888002 0
"s__equi" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"s__equorum" 1 0 2.32192809488736 1 1 1 2.58496250072116 1.58496250072116 1 0 0 1.58496250072116 1 1 0 1.58496250072116 1.58496250072116 1.58496250072116 0 2 3 1.58496250072116 2 0 1.58496250072116 3.32192809488736 1 1 0 2 0 0 1 1 0 0 1 0 2 1.58496250072116 0 2.58496250072116 0
"s__europaeus" 0 0 1.58496250072116 0 0 0 0 0 2.32192809488736 0 0 0 3.90689059560852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0
"s__exhalans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"s__faecis" 0 0 1 0 0 0 0 0 0 1 0 0 1.58496250072116 0 0 1 0 0 0 0 0 1 0 1.58496250072116 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__faecium" 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 6.14974711950468 0 0 0
"s__fascians" 0 1.58496250072116 1 0 1 0 0 0 0 0 0 0 1 0 0 0 6.83289001416474 0 0 3 3.32192809488736 0 0 1.58496250072116 0 4.24792751344359 0 0 0 4 1 0 0 0 3.32192809488736 1 0 1 2.32192809488736 0 0 0 0
