"Salti.Forehead" "Northwind.Forehead" "Stannes.Forehead" "Dias.Forehead" "Caravel.Forehead" "Buckinghan.Forehead" "Willowbe.Forehead" "Misty.Forehead" "Nyack.Forehead" "Bulls.Forehead" "Delmore.Forehead" "Elmira.Forehead" "Bjorkland.Forehead" "Overton.Forehead" "Charmark.Forehead" "Erlandson.Forehead" "Edenfield.Forehead" "Maryjane.Forehead" "Gigi.Forehead" "Devenwood.Forehead" "Zambom.Forehead" "Sandale.Forehead" "Foothill.Forehead" "Cedarhurst.Forehead" "Quinapoxet.Forehead" "Digregorio.Forehead" "Lassell.Forehead" "Balcom.Forehead" "Witch.Forehead" "Ronald.Forehead" "Eisenhower.Forehead" "Noel.Forehead" "Purchade.Forehead" "Slades.Forehead" "Burne.Forehead" "Bows.Forehead" "Brae.Forehead" "Claudett.Forehead" "Milne.Forehead" "Barefoot.Forehead" "Larcridge.Forehead" "Menekish.Forehead" "January.Forehead"
"s__chondroitinus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cinerea" 2.8073549220576 3.32192809488736 2.32192809488736 7.02236781302845 4.52356195605701 0 2.8073549220576 3 1.58496250072116 3.70043971814109 1.58496250072116 3 3.32192809488736 5.61470984411521 1.58496250072116 1.58496250072116 1.58496250072116 1 1.58496250072116 1 0 5 1.58496250072116 5.08746284125034 1.58496250072116 0 2.58496250072116 1 3.4594316186373 0 2 0 1 1 1 1.58496250072116 0 1.58496250072116 1.58496250072116 1.58496250072116 1 1 0
"s__citronellolis" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__clausii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__coagulans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__coleohominis" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__copri" 3.4594316186373 3.90689059560852 4.16992500144231 4.08746284125034 1 3.16992500144231 4.8073549220576 3 3.70043971814109 6.56985560833095 3.4594316186373 0 2.32192809488736 10.4167975276061 3.8073549220576 3.32192809488736 2 0 2.8073549220576 1 1 3.32192809488736 2 8.50382573799575 4.64385618977472 0 4.70043971814109 1.58496250072116 2.58496250072116 1 0 2 3 0 3.16992500144231 2.58496250072116 1 2.58496250072116 3.32192809488736 3.90689059560852 3.58496250072116 2.58496250072116 0
"s__cosmopolitanus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0
"s__cryaerophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__cryoconitis" 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0
"s__curvus" 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__delafieldii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__delbrueckii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dentocariosa" 3.70043971814109 5.88264304936184 5.97727992349992 12.2012050072995 6.02236781302845 0 5.83289001416474 4.39231742277876 7.69348695749933 4.90689059560852 7.85174904141606 5 6.33985000288462 3.90689059560852 4 7.21916852046216 5.93073733756289 4.64385618977472 5 6.12928301694497 4.16992500144231 6.2667865406949 8.4594316186373 8.02790599656988 4.95419631038687 1 6.16992500144231 1.58496250072116 0 3.8073549220576 5.4262647547021 3.70043971814109 3 4.32192809488736 0 3 1.58496250072116 4.32192809488736 0 4.39231742277876 4 0 1
"s__diminuta" 0 0 0 0 0 0 0 6.88264304936184 0 0 3.16992500144231 2.32192809488736 2.32192809488736 0 0 0 0 0 2 0 0 0 0 1 2.58496250072116 0 0 6.12928301694497 0 5.39231742277876 0 1.58496250072116 0 2.8073549220576 0 0 0 0 0 2.32192809488736 0 0 0
"s__dispar" 8.71080643369935 11.0881256921882 6.33985000288462 8.46352437327118 6.22881869049588 2.32192809488736 5.08746284125034 7.15987133677839 6.56985560833095 8.7279204545632 5 4.8073549220576 6.33985000288462 11.9121408562957 6.53915881110803 10.0808175276083 6.04439411935845 6 4.64385618977472 3.16992500144231 3.16992500144231 7.89481776330794 3.16992500144231 7.10852445677817 3.8073549220576 3.8073549220576 6.91886323727459 7.37503943134692 4 5.93073733756289 6.16992500144231 3.16992500144231 3.32192809488736 3.90689059560852 2.8073549220576 4.39231742277876 1.58496250072116 2.8073549220576 2.8073549220576 5.64385618977472 5.8073549220576 3 4
"s__dispersa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__distasonis" 0 1 0 0 0 0 3 2.8073549220576 0 0 3 0 0 0 0 0 2 0 0 0 0 0 0 3.4594316186373 0 0 1 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"s__doebereinerae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dolichum" 0 0 0 0 3.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 0 2.58496250072116 0 0 2.8073549220576 0 0
"s__durum" 6.22881869049588 5.58496250072116 4.75488750216347 8.60733031374961 2 2.32192809488736 4.08746284125034 4.16992500144231 4.39231742277876 3.8073549220576 4.58496250072116 5.58496250072116 8.91288933622996 2 3 5.75488750216347 4.32192809488736 0 1.58496250072116 3.32192809488736 2.58496250072116 5.61470984411521 8.1548181090521 5.4262647547021 4.39231742277876 0 3.4594316186373 4.24792751344359 4.75488750216347 0 0 1 2.8073549220576 2.32192809488736 0 3.16992500144231 0 0 1 0 1 0 0
"s__echinoides" 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 1.58496250072116 2.58496250072116 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"s__effusa" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__eggerthii" 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2.32192809488736
"s__eikelboomii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__elegans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__elkanii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"s__endodontalis" 0 0 0 0 0 0 0 2.32192809488736 0 4.39231742277876 2.8073549220576 3.90689059560852 0 0 0 0 0 0 0 0 0 2.8073549220576 2.32192809488736 2 0 0 0 0 1.58496250072116 0 0 2 0 0 0 0 0 0 0 0 3.4594316186373 0 0
"s__endophyticus" 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__enterica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"s__epidermidis" 3.90689059560852 2.32192809488736 3.16992500144231 2 3 0 5.24792751344359 4.4594316186373 1 3.16992500144231 6.53915881110803 3.58496250072116 6.14974711950468 2.32192809488736 1 1.58496250072116 5.61470984411521 0 0 1.58496250072116 4.16992500144231 5.24792751344359 3.70043971814109 1.58496250072116 2.8073549220576 3.58496250072116 2.8073549220576 2 0 0 1 6.24792751344359 1 3.8073549220576 1 8.51569983828404 3.4594316186373 3.32192809488736 1 4 3.8073549220576 1 2
"s__equi" 0 0 0 1 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__equorum" 1 1.58496250072116 1.58496250072116 0 1.58496250072116 0 1 0 0 0 3.32192809488736 1.58496250072116 1.58496250072116 0 0 0 2.58496250072116 0 0 0 2 0 2 0 0 1 1 1.58496250072116 0 0 0 2.8073549220576 0 0 0 3.16992500144231 0 0 0 0 1 0 0
"s__europaeus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.8073549220576 0 0
"s__exhalans" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__faecis" 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"s__faecium" 0 1.58496250072116 0 2 0 0 0 0 1 3 2.32192809488736 1.58496250072116 0 3 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fascians" 1 0 0 0 0 0 3 0 0 0 1.58496250072116 0 2 0 1.58496250072116 0 0 0 0 0 0 0 0 3.70043971814109 1.58496250072116 0 0 0 0 0 2 1.58496250072116 0 0 0 2 0 0 0 0 0 0 0
"s__firmus" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fischeri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__flavefaciens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__flexus" 1 0 2 0 2.58496250072116 0 2.58496250072116 3.4594316186373 0 1.58496250072116 4 4 4.39231742277876 2.32192809488736 0 0 3.4594316186373 0 1 3.32192809488736 3.8073549220576 3.4594316186373 2.32192809488736 1 1 1.58496250072116 0 0 0 1 1 3.32192809488736 0 1.58496250072116 0 4.32192809488736 1.58496250072116 0 0 2.32192809488736 1.58496250072116 0 1
"s__formigenes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
